scheedName,Jobs,NumJobStarts,CoreHr,CommittedCoreHr,RequestCpus,MemoryUsage,MemoryMB
exocet.bmrb.wisc.edu,363,438,1831.28,1557.78,1,2198,2120
sub-simprod-2.icecube.wisc.edu,26456,26559,15321.16,14643.38,64,73243,56528
lhcb-ce.chtc.wisc.edu,965,965,5041.1,5041.1,1,1709,1689
cmsgrid01.hep.wisc.edu,673,673,3782.56,3782.33,8,9766,9766
sub-1.icecube.wisc.edu,43,62,78.52,64.05,1,2442,2329
login05.hep.wisc.edu,605,605,1345.22,1336.85,1,123,116
submit3.chtc.wisc.edu,17265,18144,25547.27,25058.95,1,3418,3367
submit2.chtc.wisc.edu,5776,5776,4407.64,4407.58,12,33715,33718
osggrid01.hep.wisc.edu,6216,6265,20204.73,20201.6,8,12208,9894
submit-1.chtc.wisc.edu,3002,3005,13082.62,13068.44,1,12208,10218
osghost.chtc.wisc.edu,238,238,518.63,509.66,1,2198,2048
login03.hep.wisc.edu,15731,15732,3129.8,3063.93,1,7325,5258
login02.hep.wisc.edu,23276,23279,3946.38,3890.86,1,1465,1419
login01.hep.wisc.edu,6,6,9.48,9.47,1,733,716
login04.hep.wisc.edu,2,2,2.96,2.96,1,269,259
batlabsubmit0001.chtc.wisc.edu,6,6,48.24,0,1,0,0
keles-submit.chtc.wisc.edu,1,1,0.02,0.02,1,147,137
